ano,id_candidato_bd,bens_declarados
2022,1152677,366392.11
2022,491518,60000
2022,1606103,5436893.080000001
2022,1552124,104843.83
2022,301111,15013.04
2022,529423,15000
2022,214064,467000
2022,1384529,50000
2022,1338639,5500
2022,251609,462200.21
2022,1237164,32681
2022,1106775,635528.72
2022,507539,41171
2022,507070,300000
2022,214461,140000
2022,199590,985950
2022,307289,80000
2022,569926,95000
2022,307548,1353341.99
2022,486906,1636947.73
2022,1677577,403285.22
2022,453556,1259000
2022,305495,1216260.8099999998
2022,1297378,3190967.69
2022,1566401,1277792.4600000002
2022,152921,800000
2022,1634877,278512.43
2022,1629352,406932.76999999996
2022,1511581,5000
2022,518663,3000
2022,1638609,3000
2022,385148,290000
2022,706609,3500
2022,742580,4800
2022,1701447,4500
2022,641200,1113608.1199999999
2022,1431942,1900000
2022,744252,1022970.18
2022,153642,456840.69999999995
2022,1790376,97700
2022,213989,100000
2022,413592,1140000
2022,512367,312000
2022,1808280,290000
2022,1130346,3424247.04
2022,861344,60000
2022,589392,87000
2022,568581, 
2022,916332,100000
2022,1206341,1140783.56
2022,284827,100000
2022,610773,144000
2022,242563,100000
2022,1207684,60000
2022,322070,200000
2022,1701612,330000
2022,646442,419085.75
2022,980241,2465337.0700000003
2022,370174,376088.57
2022,1226514,392549.26
2022,840861,145000
2022,320561,550000
2022,252375,50300
2022,656357,2807202.94
2022,663804,30000
2022,751440,1000
2022,383716,785214.5900000001
2022,433836,1129326.08
2022,827665,600000
2022,734528,50000
2022,477549,250000
2022,141618,2054182
2022,1777708,660000
2022,1274927,204000
2022,230495,66868
2022,170972,245000
2022,1491346,400000
2022,1542214,1392162.4600000002
2022,608542,555000
2022,570109,65000
2022,199858,68000
2022,646069,1543290.37
2022,1631589,276300
2022,386501,40000
2022,467302,3500
2022,519326,10000
2022,119575,551660.26
2022,851771,1500
2022,527172,2000
2022,559815,3000
2022,1805176,6300000
2022,429115,2532438.5300000003
2022,1557994,45000
2022,1553179,280000
2022,1313756,2818986.0899999994
2022,1210410,88016.93
2022,574901,170500
2022,1430152,244606.58000000002
2022,26489,228000
2022,472795,40000
2022,384421,420000
2022,1779146,10000
2022,1699449,481084.04000000004
2022,1619221,3000
2022,643282,750000
2022,321302,10000
2022,1436629,150000
2022,955531,80000
2022,716930,330000
2022,814551,128000
2022,458551,56000
2022,548308,40000
2022,1196286,198680.49
2022,647421,545701.83
2022,324874,489000
2022,1306703,4136433.04
2022,1791775,347485.01999999996
2022,189976,85000
2022,417848,533000
2022,193247,1965584.78
2022,1541656,989874.13
2022,1792033,175519.99
2022,1614040,41300
2022,1530747,80000
2022,1579619,2873123.3400000003
2022,305840,70000
2022,144887,233000
2022,707676,210000
2022,607247,1470000
2022,563261,930000
2022,141161,4802894.27
2022,432973,250000
2022,1447678,164093.54
2022,607760,35000
2022,193065,1500000
2022,209421,200000
2022,1771078,450000
2022,414999,415000
2022,662038,54200
2022,1582076,320000
2022,1496162, 
2022,1444866,100000
2022,37281,62000
2022,9893,250000
2022,1666169,950000
2022,1763695,919940
2022,443607,600000
2022,1613450,90000
2022,1574863,3462460
2022,691928,147996
2022,1414269,1268000
2022,53974,262285.24
2022,589935,410000
2022,309408,350000
2022,1496100,980000
2022,459818,15000
2022,884401,598018
2022,1809410,300000
2022,471578,104000
2022,1580367,100000
2022,166907,5000
2022,973760,500073.04000000004
2022,539455,90000
2022,122989,325000
2022,1016424,127223
2022,1580665,819855.39
2022,662995,80000
2022,307540,7596026.99
2022,1766658,975206
2022,1774428,100000
2022,195073,350000
2022,193732,190000
2022,122922,565000
2022,1613275,1496588.26
2022,1655144,346680
2022,1581854,400000
2022,1019033,950000
2022,497455,310000
2022,38101,100000
2022,415824,100000
2022,1465093,705000
2022,458141,494000
2022,353627,1579571.3
2022,314390,615000
2022,183531,77975
2022,559067,75000
2022,1364297,38000
2022,807979,357000
2022,1719941,490000
2022,648709,200000
2022,882059,70000
2022,979472,82000
2022,1274607,560000
2022,664411,75000
2022,1633115,315247.5
2022,867130,180000
2022,803144,419000
2022,336061,350000
2022,1613030,326455.25
2022,1324596,524064.61000000004
2022,889266,38000
2022,246484,1615000
2022,1219470,5000
2022,779123,1610000
2022,37388,1108000
2022,143612,650072.2
2022,716521,4000
2022,1262628,2470000
2022,1623470,315000
2022,539897,431422.02999999997
2022,1004054,89500
2022,421182,360000
2022,1778122,150000
2022,652590,210000
2022,463740,10000
2022,91674,880000
2022,1359888,75000
2022,1404407,144185.95
2022,353987,500000
2022,444014,360000
2022,170202,304000
2022,861997,10000
2022,1681798,190000
2022,529366,1395000
2022,1600161,224929.31
2022,1655439,4861.200000000001
2022,478020,400787.25
2022,83543,1100000
2022,649757,64000
2022,23476,120000
2022,1134242,154468.1
2022,577362,348706.7
2022,532853,82000
2022,311953,60000
2022,816253,92000
2022,1690346,864000
2022,1618526,395753.33
2022,1052042,3065000
2022,431988,7000
2022,896816,100000
2022,563204,1024663.02
2022,486086,85000
2022,107667,138000
2022,896309,262000
2022,790576,364000
2022,705325,100000
2022,1618373,22000
2022,957217,60000
2022,628545,1423003.6400000001
2022,646889,677000
2022,238303,216000
2022,1696274,2471047.31
2022,1099394,46000
2022,1350103,462181.22000000003
2022,519559,104004.19
2022,656727,750000
2022,449852,19712.97
2022,1677973,330168.62
2022,1556711,902718.4899999998
2022,650826,52682.33
2022,1358075,1148145.6099999999
2022,1177809,50090
2022,1130383,30500
2022,1806128,35811
2022,112128,2784246.53
2022,479286,596000
2022,1240602,916385
2022,1402750,1205648.0399999998
2022,1488086,2162366.02
2022,1030705,67050
2022,733102,1034030.11
2022,1407303,15891.94
2022,1025302,117849.68999999999
2022,831630,16000
2022,380868,90399.8
2022,1524016,800000
2022,1344420,971250.06
2022,343318,579923.13
2022,129078, 
2022,625986,90000
2022,1393114,2784690
2022,632992,500000
2022,386099,48000
2022,838850,57000
2022,169224,1020600
2022,341275,470000
2022,448429,343544.55
2022,135578,469000
2022,1460617,813396.8700000001
2022,787396,35000
2022,825435,6000000
2022,841487,333000
2022,449822,160000
2022,678552,310000
2022,702233,213000
2022,838236,263000
2022,531262,550000
2022,1613332,448000
2022,33535,163479.76
2022,792385,209700
2022,706912,2450755.0999999996
2022,468173,650000
2022,1541627,200000
2022,1511733,272230
2022,1626940,1604686.23
2022,528494, 
