ano,id_candidato_bd,despesas_campanha
2022,663340,146996.66
2022,1810324,146913.2
2022,1593673,2111584.700000001
2022,196732,19993.79
2022,564417,59933
2022,689967,50000
2022,197324,50000
2022,791534,40000
2022,264012,89966.7
2022,784592,89999.6
2022,420421,90000
2022,1428086,39211.45
2022,660771,10000
2022,682902,15000
2022,470674,22484
2022,115438,20000
2022,1239636,10000
2022,385095,34500
2022,381087,19997
2022,1026550,4000
2022,1516860,325000
2022,1191588,1883000.0000000002
2022,947253,112859.83
2022,681819,425374.9800000001
2022,604107,500039.9999999999
2022,1015672,505841.2
2022,730975,399932.42000000004
2022,529428,369978.54000000004
2022,1366266,199965.21999999997
2022,1582724,2143495.3699999996
2022,527943,3147977.1199999996
2022,1187246,1677022.2199999988
2022,1716672,49894
2022,1344051,2326581.7700000005
2022,160623,1504676.0000000002
2022,1121330,2317115.430000001
2022,1217050,1856058.2200000002
2022,1009648,1668744.299999993
2022,916678,2547854.4000000004
2022,1046922,60020
2022,696269,35123.520000000004
2022,1150355,53695.95
2022,807646,61980
2022,1233307,15000
2022,1279669,80800
2022,18107,40000
2022,647184,63000
2022,374659,59973.84999999999
2022,729350,9406
2022,1351979,209988.34999999998
2022,1454989,1802012.3000000005
2022,1802083,4000
2022,526644,263123.82
2022,48329,1914.3400000000001
2022,1166798,59209.479999999996
2022,1097758,1970
2022,1393529,4999.99
2022,1104641,5000
2022,1107672,701500
2022,1591393,818357.03
2022,510493,2501916.2600000007
2022,527347,3230756.0999999996
2022,1041615,535901.8099999999
2022,1551538,400000.00000000006
2022,510987,548912.8200000002
2022,680972,1464289.23
2022,900730,300000
2022,213867,3333
2022,1152677,2484380.5299999993
2022,1549566,229970.97
2022,1332401,50000
2022,995508,50110
2022,434914,50000
2022,1476036,359593
2022,1352954,311803.39
2022,250603,299974.04999999993
2022,1241615,246282.8
2022,1310780,152723.47999999998
2022,1650479,2439823.3200000003
2022,984310,465785
2022,1178941,205000
2022,526775,120430.66
2022,1106775,200000
2022,1167799,55230.1
2022,228000,369918.95
2022,1133756,267113
2022,1809427,359487.1
2022,78664,181806.82999999996
2022,1165147,301524.02
2022,1494489,399955.98000000004
2022,949848,19857.65
2022,551951,119499.53
2022,287609,49822
2022,251609,1350000
2022,915981,769987.8899999998
2022,586270,2509055.16
2022,1024733,99843
2022,1237164,674682.69
2022,1085376,2025868.8700000006
2022,316993,1207340.87
2022,1338639,149997.36999999994
2022,301111,717494.8499999999
2022,491518,466933.63
2022,1397852,406809.6
2022,1114615,276710.88
2022,1606103,2772016.4699999997
2022,1552124,425474.0300000003
2022,350446,256025.65
2022,365754,378487.5300000001
2022,1107110,61126
2022,1358956,69662
2022,101440,24052.750000000004
2022,1378358,25401.2
2022,582783,12000
2022,1770890,39950
2022,1364252,54997.32
2022,1098555,20203.229999999996
2022,1115422,29812
2022,543336,40000
2022,1384529,134993
2022,1303330,9980
2022,214064,89300
2022,892111,49900
2022,1218345,250180.28999999998
2022,327627,119342.70000000001
2022,148572,530339.04
2022,920062,150262.36
2022,1434477,2223000.000000001
2022,1364542,827740
2022,959718,249909.24999999997
2022,1216354,499999.99999999994
2022,970395,16030
2022,204087,25000
2022,646616,29892
2022,491696,101909.52
2022,1358201,34525
2022,150099,29955
2022,159201,39995.1
2022,529643,37250
2022,1178360,130000
2022,1056323,21212.5
2022,322695,33689
2022,213535,10000
2022,496467,8133.3
2022,641200,1759795.8000000012
2022,1431942,3058073.2
2022,413592,150000
2022,213989,25000
2022,744252,237818.40000000093
