ano,sigla_uf,id_candidato_bd,nome_urna,sigla_partido,cargo,genero,raca,resultado,votos,bens_declarados,despesas_campanha
2022,GO,1114004,Ruth Queiroz,PSC,deputado federal,feminino,parda,suplente,271,37328.880000000005,49849.05
2022,MG,1115180,Estevão Do Rachim,PSC,deputado federal,masculino,parda,suplente,3942,510000.0,70000.0
2022,ES,1115895,Renzo Vasconcelos,PSC,deputado federal,masculino,branca,nao eleito,82276,406721.35,1846000.0
2022,MG,1121934,Alexandre Rodrigues,PSC,deputado federal,masculino,nao informado,suplente,415,209000.0,
2022,SP,1133492,Nenê Noivas,PSC,deputado federal,feminino,preta,suplente,162,,15000.0
2022,BA,1134242,Irmão Lourenilson,PSC,deputado federal,masculino,parda,nao eleito,167,154468.1,5127.41
2022,PB,1143335,Daniela Caturité,PSC,deputado federal,feminino,parda,suplente,3210,80000.0,174539.17
2022,MG,1149754,Aline Da Silva Pedro,PSC,deputado federal,feminino,preta,suplente,51,,10000.0
2022,MG,1151054,Magnus Carlo,PSC,deputado federal,masculino,branca,suplente,1365,874000.0,10000.0
2022,MG,1161556,Aranísio Júnior,PSC,deputado federal,masculino,branca,suplente,857,,29453.68
2022,MG,1168902,Euclydes Pettersen,PSC,deputado federal,masculino,branca,eleito por qp,101892,5278028.08,3186823.4600000004
2022,MG,1179437,Flávio Dutra,PSC,deputado federal,masculino,parda,suplente,550,405000.0,
2022,PI,1186971,Breno Veloso,PSC,deputado federal,masculino,branca,nao eleito,314,2657.33,
2022,MG,1190521,Kerley Cristina,PSC,deputado federal,feminino,nao informado,suplente,332,,15000.0
2022,PR,1192129,Giovani Mattos,PSC,deputado federal,masculino,branca,nao eleito,10880,73878.83,51522.0
2022,SC,1196578,Jucimar,PSC,deputado federal,masculino,branca,nao eleito,148,10000.0,30000.0
2022,PR,1197902,Kadu Prado,PSC,deputado federal,masculino,branca,nao eleito,1512,105000.0,4554.5
2022,AM,1206341,Castor,PSC,deputado federal,masculino,branca,nao eleito,828,1140783.56,15000.26
2022,AM,1207684,Ademir Rocha,PSC,deputado federal,masculino,parda,nao eleito,242,60000.0,2000.0
2022,RJ,1207735,Marcio Garcia,PSC,deputado federal,masculino,branca,nao eleito,6313,802257.43,84.8
2022,PI,1212913,Nayane Salazar,PSC,deputado federal,feminino,parda,nao eleito,9,,
2022,CE,1214346,Ingrid Nayara,PSC,deputado federal,feminino,branca,nao eleito,90,,10000.0
2022,RR,1220926,Marão,PSC,deputado federal,masculino,parda,nao eleito,146,,
2022,RS,1240732,Jader Maretoli,PSC,deputado federal,masculino,parda,nao eleito,6825,,75027.0
2022,SP,1258299,Dr Adilson Medeiros,PSC,deputado federal,masculino,branca,suplente,380,79054.0,10000.0
2022,SP,1259578,Pereirinha José Adilson,PSC,deputado federal,masculino,parda,suplente,2438,186000.0,12586.0
2022,RO,1260829,Lucas Follador,PSC,deputado federal,masculino,branca,nao eleito,12265,300000.0,631016.9600000002
2022,PE,1262214,Irmão Romero,PSC,deputado federal,masculino,branca,nao eleito,478,,
2022,RJ,1262873,Professora Nivea,PSC,deputado federal,feminino,parda,nao eleito,128,,19996.4
2022,SP,1266027,Elis Regina,PSC,deputado federal,feminino,branca,suplente,1413,308110.0,35000.0
2022,RJ,1269699,Pastor Anderson Costa,PSC,deputado federal,masculino,preta,nao eleito,386,10000.0,
2022,PA,1275007,Iranilde Russo,PSC,deputado federal,feminino,branca,nao eleito,1411,27138.36,112630.0
2022,SP,1281799,Vassoler,PSC,deputado federal,masculino,branca,suplente,3626,90.13,100000.0
2022,MG,1283472,Gleice Kelly,PSC,deputado federal,feminino,parda,suplente,510,,10000.0
2022,ES,1293581,Wanderson Marinho,PSC,deputado federal,masculino,preta,nao eleito,1142,310998.17,706022.5199999999
2022,RJ,1298033,Prof Jonatas Castelo Branco,PSC,deputado federal,masculino,branca,nao eleito,4501,450000.0,680506.2
2022,BA,1303137,Josyane Santos,PSC,deputado federal,feminino,preta,nao eleito,102,,45666.12
2022,SP,1303303,Pr. Paulinho Aleluia,PSC,deputado federal,masculino,parda,suplente,523,350000.0,350.0
2022,CE,1304922,Jully Coutinho,PSC,deputado federal,feminino,parda,nao eleito,454,,25000.0
2022,PE,1309121,Ricardo Dez Mandamentos,PSC,deputado federal,masculino,branca,nao eleito,58,,9510.8
2022,TO,1318174,Enison Nunes,PSC,deputado federal,masculino,preta,nao eleito,903,487000.0,29818.95
2022,SP,1324175,Alexis Junnior Radialista,PSC,deputado federal,masculino,branca,suplente,987,300000.0,10000.0
2022,RJ,1326988,Jaqueline Lopes,PSC,deputado federal,feminino,parda,nao eleito,110,,20000.0
2022,PI,1354045,Almy Andrade,PSC,deputado federal,masculino,branca,nao eleito,212,,
2022,PA,1355858,Julia Marinho,PSC,deputado federal,feminino,parda,nao eleito,34489,6685.54,999978.6000000001
2022,BA,1359888,Rui Magno,PSC,deputado federal,masculino,branca,nao eleito,1150,75000.0,40231.05
2022,PA,1360604,Javier Villegas,PSC,deputado federal,masculino,parda,nao eleito,335,834243.29,18050.0
2022,MG,1367951,Leninha,PSC,deputado federal,feminino,parda,suplente,246,,15000.0
2022,PB,1368913,Marina Venâncio,PSC,deputado federal,feminino,branca,suplente,4513,24324.5,498460.89
2022,SP,1370968,Daniel Vieira,PSC,deputado federal,masculino,parda,suplente,1322,33174.75,6544.0
2022,ES,1371445,Diane Karateka,PSC,deputado federal,feminino,branca,nao eleito,230,,100000.0
2022,MG,1383248,Ana Cleyde,PSC,deputado federal,feminino,parda,suplente,227,,10000.0
2022,SP,1386765,Juarez Domingos,PSC,deputado federal,masculino,parda,suplente,519,,10000.0
2022,MG,1387850,Ray Martins,PSC,deputado federal,feminino,preta,suplente,95,,
2022,SP,1391943,Nilson Da Churrascaria,PSC,deputado federal,masculino,branca,suplente,1301,328700.0,50000.0
2022,MG,1395683,Messias Ferreira,PSC,deputado federal,masculino,preta,suplente,256,,
2022,BA,1404407,Gil Fiuza,PSC,deputado federal,masculino,branca,nao eleito,457,144185.95,17658.0
2022,SP,1407775,Rogerio França,PSC,deputado federal,masculino,branca,suplente,814,27000.0,9895.7
2022,SP,1410506,Marcelo King,PSC,deputado federal,masculino,preta,suplente,450,49000.0,24989.0
2022,RJ,1410913,Amandinha Do Dedé,PSC,deputado federal,feminino,parda,nao eleito,518,,19708.989999999998
2022,ES,1412526,Soldado Hinte,PSC,deputado federal,masculino,parda,nao eleito,551,,199329.12
2022,RS,1415948,Josi Ramos,PSC,deputado federal,feminino,branca,nao eleito,588,,20000.000000000004
2022,RJ,1419031,Milla Pontes,PSC,deputado federal,feminino,branca,nao eleito,301,,14841.95
2022,RJ,1423379,Gisele Santos,PSC,deputado federal,feminino,preta,nao eleito,479,,9947.8
2022,RJ,1424648,Beatriz Nascimento,PSC,deputado federal,feminino,preta,nao eleito,191,,14972.0
2022,PB,1426214,Prof Assis Pinheiro,PSC,deputado federal,masculino,branca,suplente,327,1237820.03,4895.0
2022,PR,1430670,Adriana Machado,PSC,deputado federal,feminino,branca,nao eleito,668,144000.0,10500.0
2022,SP,1435252,Chamon,PSC,deputado federal,masculino,branca,suplente,3684,704000.0,9958.0
2022,MA,1444494,Alê Do Povo,PSC,deputado federal,feminino,branca,suplente,1327,,149993.55
2022,PA,1457971,Tiana Melul,PSC,deputado federal,feminino,preta,nao eleito,432,,35000.0
2022,RJ,1461863,Guilherme Oliveira,PSC,deputado federal,masculino,parda,nao eleito,296,20000.02,95.0
2022,RJ,1462182,Gaby Damasceno,PSC,deputado federal,feminino,branca,nao eleito,1697,43205.71000000001,1061698.7
2022,SP,1462331,Ailton Bispo,PSC,deputado federal,masculino,parda,suplente,731,330000.0,10000.0
2022,SP,1468093,Arilson,PSC,deputado federal,masculino,parda,suplente,3540,135658.14,55690.0
2022,SP,1473997,Lenynha,PSC,deputado federal,feminino,parda,suplente,257,,14110.5
2022,MG,1480742,Ilacir Bicalho,PSC,deputado federal,masculino,branca,suplente,16128,1143875.0,295970.25
2022,SP,1488525,Mônica Sontini,PSC,deputado federal,feminino,branca,suplente,3917,736010.15,98081.2
2022,MG,1493318,Vitor Silva,PSC,deputado federal,masculino,preta,suplente,63,117000.0,
2022,RS,1505003,Rener,PSC,deputado federal,masculino,branca,nao eleito,120,217261.0,10000.0
2022,CE,1507143,Nany França,PSC,deputado federal,feminino,parda,nao eleito,315,,20000.0
2022,SP,1508872,Marcio Larranhaga,PSC,deputado federal,masculino,branca,suplente,1012,991117.52,50000.00000000001
2022,SC,1509184,Maestro Nilo,PSC,deputado federal,masculino,branca,nao eleito,608,,14950.0
2022,SP,1509254,Silvia Sol,PSC,deputado federal,feminino,parda,suplente,291,,35540.0
2022,SP,1512296,Fernando Favoretto,PSC,deputado federal,masculino,branca,suplente,4595,178913.69999999998,60235.399999999994
2022,MA,1515914,Wanderson Gomes,PSC,deputado federal,masculino,parda,suplente,766,150000.0,49963.0
2022,RJ,1519755,Ze Bonitinho,PSC,deputado federal,masculino,parda,nao eleito,108,,
2022,MG,1529955,Roque Saldanha,PSC,deputado federal,masculino,parda,nao eleito,707,,
2022,RJ,1530514,Coronel Marcio,PSC,deputado federal,masculino,branca,nao eleito,1891,77048.89,35000.0
2022,SP,1532725,Madalena De Laura,PSC,deputado federal,feminino,branca,suplente,362,,34926.4
