ano,sigla_uf,id_candidato_bd,nome_urna,sigla_partido,cargo,genero,raca,resultado,votos,bens_declarados,despesas_campanha,concorreu_18,tentando_reeleicao
2022,GO,986381,Aracelly Cantuario,DC,deputado federal,feminino,branca,0,95,67000.0,,1,0
2022,RJ,988789,Carlos Perréto,DC,deputado federal,masculino,parda,0,1177,,,0,0
2022,PE,996557,Cinesio Eletricista,DC,deputado federal,masculino,preta,0,132,,3900.0,0,0
2022,TO,1004753,João Paulo,DC,deputado federal,masculino,parda,0,97,,8150.0,0,0
2022,MA,1010216,Sheila Calafell,DC,deputado federal,feminino,parda,0,164,,15490.0,0,0
2022,PE,1010291,Adilson Batista,DC,deputado federal,masculino,parda,0,491,120000.0,,0,0
2022,BA,1029558,Bicho Som,DC,deputado federal,masculino,branca,0,298,,6000.0,0,0
2022,RJ,1038124,Jean Carlos Instrutor,DC,deputado federal,masculino,branca,0,358,,,0,0
2022,RJ,1038429,Cosme Da Silveira,DC,deputado federal,masculino,preta,0,108,,,0,0
2022,PR,1051490,Cleide Maria Menegon,DC,deputado federal,feminino,branca,0,43,280000.0,,0,0
2022,RS,1052875,Tharly Aleixo,DC,deputado federal,feminino,parda,0,36,9045.0,5021.95,0,0
2022,SE,1054662,Mikinha Do Povo,DC,deputado federal,feminino,branca,0,101,50000.0,3000.0,0,0
2022,BA,1067836,Tais Braga,DC,deputado federal,feminino,parda,0,22,,12000.0,0,0
2022,DF,1091198,Cristian Lima,DC,deputado federal,masculino,branca,0,48,61000.0,,0,0
2022,RJ,1099550,De Sá,DC,deputado federal,masculino,preta,0,35,,,0,0
2022,BA,1106619,Dr. Vinicius,DC,deputado federal,masculino,branca,0,1190,,1500.0,0,0
2022,ES,1115359,Marineusa Lucas,DC,deputado federal,feminino,parda,0,97,,,0,0
2022,DF,1119032,Oscar Silva,DC,deputado federal,masculino,parda,0,1448,389725.63,,1,0
2022,RJ,1125004,Glaidson Acácio,DC,deputado federal,masculino,preta,0,37935,60450000.0,28587.8,0,0
2022,RR,1142062,Konchita,DC,deputado federal,feminino,parda,0,62,,22632.68,0,0
2022,RJ,1152603,Filipe Mendes,DC,deputado federal,masculino,preta,0,86,,,0,0
2022,PR,1152992,Deyvidy Hernandes,DC,deputado federal,masculino,branca,0,3066,94000.0,12469.1,0,0
2022,MA,1156580,Eduardo Martins,DC,deputado federal,masculino,parda,0,391,350000.0,25622.0,0,0
2022,BA,1167520,Daniel Pereira,DC,deputado federal,masculino,parda,0,164,,8000.0,0,0
2022,MA,1189466,Ana Quilombola,DC,deputado federal,feminino,preta,0,120,,,0,0
2022,AL,1214141,Josimar Firmino,DC,deputado federal,masculino,parda,0,173,,,0,0
2022,SP,1214579,Dr Paulo Purkyt,DC,deputado federal,masculino,branca,0,164,,500.0,0,0
2022,ES,1218971,Evanilza Souza,DC,deputado federal,feminino,parda,0,85,,,0,0
2022,PR,1232101,Jornalista Gerson Garcia,DC,deputado federal,masculino,branca,0,43,345000.0,7412.0,0,0
2022,RJ,1235596,Dr Márcio Vilaró,DC,deputado federal,masculino,parda,0,617,,,0,0
2022,RJ,1237025,Leca Da Bicicleta,DC,deputado federal,masculino,branca,0,371,,4000.0,0,0
2022,RJ,1245187,Anderson Amorim,DC,deputado federal,masculino,preta,0,214,,4000.0,0,0
2022,RJ,1245627,Eliel Trezedeck,DC,deputado federal,masculino,preta,0,425,,4000.0,0,0
