ano,sigla_uf,id_candidato_bd,nome_urna,sigla_partido,cargo,genero,raca,resultado,votos
2018,SC,1201837,Matheus Vetter,PCO,deputado federal,masculino,branca,nao eleito,0
2018,SC,1204305,Giancarlo,PCB,deputado federal,masculino,branca,nao eleito,805
2018,MG,1214988,Luis Fernando,PCB,deputado federal,masculino,preta,suplente,1042
2018,MG,1230780,Gabriela Ferreira,PCB,deputado federal,feminino,branca,suplente,94
2018,RO,1244759,Ruzimar Ramos,PSTU,deputado federal,masculino,branca,nao eleito,251
2018,MG,1250402,Renata Regina,PCB,deputado federal,feminino,preta,suplente,1154
2018,MG,1262465,Pedro O Cabo Franco,PCB,deputado federal,masculino,branca,suplente,231
2018,PR,1266525,Daiana Dantas,PCO,deputado federal,feminino,branca,nao eleito,133
2018,MG,1268344,Ana Letícia,PSTU,deputado federal,feminino,branca,nao eleito,520
2018,MG,1307195,Arthur Miranda,PCB,deputado federal,masculino,branca,suplente,425
2018,SC,1315956,Filipe Miséria,PCB,deputado federal,masculino,branca,nao eleito,95
2018,RN,1330694,Daniel Cirilo,PCO,deputado federal,masculino,branca,nao eleito,52
2018,PE,1340863,Victor De Assis,PCO,deputado federal,masculino,parda,nao eleito,0
2018,SP,1352212,Mauricio Parisi,PCB,deputado federal,masculino,branca,suplente,1251
2018,RJ,1362807,Vitor Lara,PCO,deputado federal,masculino,branca,nao eleito,0
2018,SP,1388163,Vagner Crusco,PCO,deputado federal,masculino,branca,nao eleito,0
2018,MG,1388350,Bruna Thariny,PCB,deputado federal,feminino,branca,suplente,1448
2018,MG,1406433,Paloma Silva,PCB,deputado federal,feminino,parda,suplente,625
2018,MG,1427161,Fernando Da Federal,PCB,deputado federal,masculino,branca,suplente,482
2018,MA,1470357,Osmar,PSTU,deputado federal,masculino,parda,nao eleito,259
2018,PA,1474683,Cesar,PCB,deputado federal,masculino,parda,suplente,224
2018,MG,1498961,Zulu,PCB,deputado federal,masculino,preta,suplente,653
2018,RJ,1499067,Maria Carol,PCB,deputado federal,feminino,preta,suplente,2141
2018,SP,1514471,Cláudio Donizete,PSTU,deputado federal,masculino,preta,nao eleito,851
2018,SP,1515631,Riva Silva,PCO,deputado federal,masculino,parda,nao eleito,0
2018,PI,1597310,José Rodrigues,PCB,deputado federal,masculino,branca,nao eleito,2443
2018,DF,1613695,Ricardo Machado,PCO,deputado federal,masculino,parda,nao eleito,0
2018,MA,1655535,Dra Valuzia,PCB,deputado federal,feminino,preta,nao eleito,981
2018,SP,1670967,Flávia Prates,PCO,deputado federal,feminino,branca,nao eleito,0
2018,MA,1691080,Moreira Do Marwel,PCB,deputado federal,masculino,parda,nao eleito,297
2018,CE,1727588,Felix,PSTU,deputado federal,masculino,branca,nao eleito,633
2018,DF,1769681,Kengy,PCO,deputado federal,masculino,branca,nao eleito,0
2018,MS,1803796,Dirce Arce,PCO,deputado federal,masculino,parda,nao eleito,0
2018,PE,1806779,Elvira Cavalcanti,PCB,deputado federal,feminino,branca,nao eleito,194
2022,TO,11857,Silvino Vitor,DC,deputado federal,masculino,preta,nao eleito,200
2022,MA,20060,João Soares,DC,deputado federal,masculino,parda,nao eleito,95
2022,DF,22415,Bispa Maéce,DC,deputado federal,feminino,branca,nao eleito,112
2022,MT,28097,Dr Renato,DC,deputado federal,masculino,branca,nao eleito,71
2022,SP,36699,Carlos Augusto Lessa,DC,deputado federal,masculino,parda,nao eleito,176
2022,BA,44122,Ailton Costa,DC,deputado federal,masculino,parda,nao eleito,225
2022,RJ,54406,Luis Santa Cruz,DC,deputado federal,masculino,branca,nao eleito,584
2022,PE,54707,Paula Cavalcanti,DC,deputado federal,feminino,parda,nao eleito,102
2022,RN,57765,Marcus Vinicius,DC,deputado federal,masculino,parda,nao eleito,14
2022,BA,58289,Cristina Dos Santos,DC,deputado federal,feminino,parda,nao eleito,112
2022,PR,63135,Gilson Camargo,DC,deputado federal,masculino,branca,nao eleito,15
2022,MG,67134,Cida Maria Enfermeira,DC,deputado federal,feminino,branca,nao eleito,415
2022,GO,67298,Geraldo Silva,DC,deputado federal,masculino,branca,nao eleito,146
2022,PR,94379,Pastor Neri Tavares,DC,deputado federal,masculino,branca,nao eleito,120
2022,ES,107911,João Costela,DC,deputado federal,masculino,branca,nao eleito,145
2022,AM,119575,Celso Corsino,DC,deputado federal,masculino,parda,nao eleito,536
2022,TO,120786,Paulo Cezar,DC,deputado federal,masculino,branca,nao eleito,33
2022,GO,142099,Aurilene Malta,DC,deputado federal,feminino,branca,nao eleito,46
2022,GO,161703,Ivon Eber A Jato,DC,deputado federal,masculino,branca,nao eleito,800
2022,BA,185553,Luis Carlos Santana,DC,deputado federal,masculino,parda,nao eleito,258
2022,GO,198113,Eliane Martins,DC,deputado federal,feminino,branca,nao eleito,571
2022,MA,198964,Marta Matos,DC,deputado federal,feminino,branca,nao eleito,132
2022,MT,201282,João Pinto,DC,deputado federal,masculino,amarela,nao eleito,197
2022,PR,207795, Poletto,DC,deputado federal,masculino,branca,nao eleito,138
2022,RR,216772,Maria Da Silva,DC,deputado federal,feminino,parda,nao eleito,33
2022,MS,245011,Wanderleia Ferreira,DC,deputado federal,feminino,branca,nao eleito,155
2022,PR,246140,Zé Augusto,DC,deputado federal,masculino,branca,nao eleito,326
2022,SC,251184,Daniel Silveira,DC,deputado federal,masculino,branca,nao eleito,787
2022,RS,274782,Raquel Morsch,DC,deputado federal,feminino,branca,nao eleito,192
2022,PR,283097,Edneia Maria,DC,deputado federal,feminino,branca,nao eleito,66
